trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2016-11-11,399300.SZ,3417.221,3387.948,3422.672,3382.893,3390.612,26.609,0.7848,198781496.0,190647270.0
2016-11-14,399300.SZ,3430.248,3409.224,3452.616,3408.139,3417.221,13.027,0.3812,213247105.0,208353308.6
2016-11-15,399300.SZ,3429.87,3428.866,3434.922,3415.995,3430.248,-0.378,-0.011,134566320.0,135206770.5
2016-11-16,399300.SZ,3429.592,3432.434,3435.637,3419.244,3429.87,-0.278,-0.0081,129808511.0,128944599.1
2016-11-17,399300.SZ,3436.535,3423.465,3437.669,3412.877,3429.592,6.943,0.2024,121561731.0,121576882.9
2016-11-18,399300.SZ,3417.455,3437.49,3443.119,3413.27,3436.535,-19.08,-0.5552,115951205.0,117345607.6
2016-11-21,399300.SZ,3441.111,3412.652,3463.142,3412.08,3417.455,23.656,0.6922,146434529.0,147542589.3
2016-11-22,399300.SZ,3468.364,3443.22,3469.219,3443.22,3441.111,27.253,0.792,168523446.0,167250665.8
2016-11-23,399300.SZ,3474.729,3473.895,3492.956,3465.764,3468.364,6.365,0.1835,162388504.0,171247116.1
2016-11-24,399300.SZ,3488.74,3468.807,3508.165,3467.011,3474.729,14.011,0.4032,145746301.0,165071453.5
2016-11-25,399300.SZ,3521.298,3490.04,3521.303,3463.948,3488.74,32.558,0.9332,153621506.0,166832181.1
2016-11-28,399300.SZ,3535.081,3538.675,3553.36,3528.32,3521.298,13.783,0.3914,207375483.0,219859766.8
2016-11-29,399300.SZ,3564.04,3525.901,3583.719,3521.379,3535.081,28.959,0.8192,236918356.0,248322816.3
2016-11-30,399300.SZ,3538.001,3557.636,3567.069,3527.023,3564.04,-26.039,-0.7306,178560178.0,190681227.6
2016-12-01,399300.SZ,3565.036,3543.956,3575.97,3543.245,3538.001,27.035,0.7641,180170761.0,199637742.9
2016-12-02,399300.SZ,3528.955,3559.771,3562.55,3516.788,3565.036,-36.081,-1.0121,196355480.0,203742147.4
2016-12-05,399300.SZ,3469.407,3473.688,3496.884,3457.343,3528.955,-59.548,-1.6874,180852355.0,190175061.7
2016-12-06,399300.SZ,3459.153,3466.242,3477.59,3456.807,3469.407,-10.254,-0.2956,115529090.0,125727753.1
2016-12-07,399300.SZ,3475.747,3458.369,3475.747,3445.756,3459.153,16.594,0.4797,114345103.0,115282194.2
2016-12-08,399300.SZ,3470.143,3481.807,3484.34,3466.512,3475.747,-5.604,-0.1612,117383922.0,119188508.6
2016-12-09,399300.SZ,3493.7,3464.873,3507.928,3461.761,3470.143,23.557,0.6788,150303308.0,152674867.7
2016-12-12,399300.SZ,3409.179,3489.268,3495.802,3400.793,3493.7,-84.521,-2.4192,187467751.0,199163540.8
2016-12-13,399300.SZ,3405.036,3394.207,3416.215,3370.596,3409.179,-4.143,-0.1215,121105097.0,124454188.7
2016-12-14,399300.SZ,3378.945,3399.411,3412.28,3378.266,3405.036,-26.091,-0.7662,124007744.0,126182669.4
2016-12-15,399300.SZ,3340.434,3363.86,3378.037,3327.143,3378.945,-38.511,-1.1397,114960660.0,121507811.5
2016-12-16,399300.SZ,3346.031,3335.363,3356.292,3330.493,3340.434,5.597,0.1676,90775422.0,98112206.8
2016-12-19,399300.SZ,3328.9827,3342.3449,3344.8584,3324.9986,3346.0305,-17.0478,-0.5095,81640678.0,86095693.8
2016-12-20,399300.SZ,3309.0641,3328.2985,3329.1022,3289.2682,3328.9827,-19.9186,-0.5983,87569592.0,88527345.8
2016-12-21,399300.SZ,3338.536,3313.7451,3342.4761,3313.7451,3309.0641,29.4719,0.8906,108254995.0,106205485.2
2016-12-22,399300.SZ,3335.672,3335.1218,3340.3628,3322.7196,3338.536,-2.864,-0.0858,92277249.0,92564877.5
2016-12-23,399300.SZ,3307.5991,3333.4009,3334.8937,3300.8843,3335.672,-28.0729,-0.8416,97444713.0,99575473.2
2016-12-26,399300.SZ,3322.4006,3293.2236,3322.4212,3267.0481,3307.5991,14.8015,0.4475,89793982.0,95493219.9
2016-12-27,399300.SZ,3316.3852,3319.2061,3330.2324,3315.8318,3322.4006,-6.0154,-0.1811,75486359.0,79617133.0
2016-12-28,399300.SZ,3301.8887,3315.7526,3320.5467,3293.1737,3316.3852,-14.4965,-0.4371,69000437.0,71759839.5
2016-12-29,399300.SZ,3297.7648,3297.036,3312.113,3288.0959,3301.8887,-4.1239,-0.1249,70087923.0,75972960.4
2016-12-30,399300.SZ,3310.0808,3302.5993,3313.5497,3295.7513,3297.7648,12.316,0.3735,71744116.0,76921368.8
